3,212,224,87,154,193,-21.59999999999658
5,554,422,235,364,466,-18.39999999999437
6,445,557,168,411,413,-74.39999999998693
23,12,1,40,5,29,8.499999999998355
24,411,80,105,114,267,34.69999999999781
25,1,2,0,0,0,-0.3000000000000185
45,7,4,1,3,14,-0.1999999999997568
46,212,176,84,143,207,-11.499999999996774
47,579,298,180,474,623,-13.099999999982685
48,379,726,116,461,576,-130.1999999999769
49,335,516,196,390,398,-69.49999999998789
50,2752,3865,799,3309,3493,-668.8999999998451
51,159,211,43,184,258,-36.09999999999022
52,970,1086,390,1104,1271,-152.59999999995426
53,9,26,7,25,31,-5.3999999999985775
56,422,341,229,349,260,-15.099999999996271
58,25,1,20,1,3,6.199999999998523
59,20,5,10,12,32,1.800000000000336
60,38,68,13,115,64,-18.69999999999379
61,0,1,0,0,1,-0.19999999999998122
62,117,126,22,76,124,-16.69999999999683
64,1,0,0,1,1,5.6038507167954776E-14
66,375,1152,44,1183,1213,-302.39999999992034
67,30,83,11,64,55,-17.799999999996558
68,94,473,36,362,142,-114.19999999998079
69,41,48,8,77,51,-11.599999999995939
70,5,0,9,7,7,1.599999999999925
71,37,3,2,0,51,3.500000000000149
72,2,11,7,5,4,-1.1000000000000743
73,5,3,4,3,3,0.39999999999990676
74,361,437,136,267,363,-50.79999999999259
75,11,19,10,5,11,-1.2000000000002786
76,935,2134,256,2053,2158,-487.3999999998761
77,166,248,136,154,122,-21.199999999999804
78,1,0,1,0,0,0.2999999999999252
79,60,1,14,15,64,7.10000000000013
80,3,4,4,1,2,0.19999999999981344
81,9,21,5,22,39,-4.499999999998484
82,134,502,14,323,223,-116.49999999998097
83,483,338,95,492,656,-49.49999999997449
84,1091,1115,420,1128,1097,-142.69999999996006
85,79,97,53,98,76,-10.699999999997527
86,835,833,245,754,817,-109.49999999997173
87,790,1059,275,1004,803,-178.1999999999588
88,1105,623,388,533,1105,10.200000000008188
89,5,8,0,4,8,-1.499999999999719
90,1199,890,353,904,1032,-77.89999999997217
91,17,7,3,3,9,0.5999999999998509
92,72,150,18,60,51,-25.199999999998028
93,1,37,1,19,24,-8.999999999998558
94,65,59,26,35,63,-3.59999999999953
95,129,46,82,58,51,14.299999999997198
96,53,65,15,32,10,-7.899999999999841
98,2,1,0,1,5,-0.09999999999988785
99,191,157,23,192,171,-26.89999999999089
100,77,159,30,242,131,-42.29999999998709
108,15,17,19,87,74,-6.7999999999950855
109,0,0,1,3,2,-0.09999999999985057
112,0,31,0,7,0,-6.899999999999604
113,4943,4817,1634,4602,5083,-602.4999999998306
115,360,31,28,30,123,32.39999999999568
116,135,161,47,191,182,-28.39999999999103
117,513,626,175,427,748,-81.5999999999814
118,400,444,101,315,492,-60.09999999998624
120,964,729,189,581,923,-69.69999999997873
121,206,168,41,86,154,-13.399999999998432
122,345,580,92,552,731,-118.29999999996696
123,185,124,61,101,162,-4.199999999998175
124,57,43,13,24,38,-2.699999999999734
125,1298,694,322,516,771,3.8000000000011056
126,672,718,240,655,848,-93.89999999997339
128,139,114,36,70,103,-8.699999999998761
129,2,1,1,0,0,0.1999999999999066
131,538,638,141,629,761,-108.49999999996845
132,692,323,331,287,604,42.099999999995916
133,12,126,1,69,53,-30.699999999995416
134,370,557,184,271,246,-64.6999999999974
135,184,227,3,171,114,-43.49999999999187
136,101,57,10,55,105,-4.7999999999974
137,530,1021,187,781,741,-191.89999999996266
138,264,441,117,336,261,-71.99999999998775
139,304,622,145,415,324,-106.49999999998442
140,652,729,286,554,806,-78.79999999998205
141,652,573,255,573,632,-55.699999999982474
142,14,6,9,10,15,1.0000000000000748
143,47,30,10,23,38,-1.599999999999437
144,3,11,5,16,10,-2.4999999999992513
145,195,115,83,170,220,-3.8999999999946446
146,961,239,464,466,1019,94.5000000000012
147,1543,1023,696,1052,1541,-16.29999999998003
148,1428,906,591,1708,1656,-90.9999999999331
149,514,669,210,732,463,-113.59999999997167
150,1233,856,485,983,1261,-49.19999999997148
151,1772,1625,779,1380,1843,-129.99999999996487
152,1009,756,443,700,1029,-31.69999999998518
153,181,284,137,232,540,-34.499999999987935
154,492,255,400,226,421,55.59999999998893
155,503,298,236,385,706,-0.5999999999878511
